Unidade da Federação, 2019, 2020, 2021, 2022, 2023
Mato Grosso,31654882,32338031,32424958,34246313,33994004
Goiás,22823401,23626608,24293954,24410182,23729878
Minas Gerais,22020979,22165606,22856143,22993105,22498415
Pará,20953429,22432348,23921005,24791060,25040621
Mato Grosso do Sul,19407908,19027086,18608503,18433728,18891916
Rondônia,14349219,14804398,15110301,17688225,18162632
Rio Grande do Sul,11968216,11128019,11056530,11932838,12012219
São Paulo,10487012,10568637,10718494,11065605,10768360
Bahia,10214863,9748632,11755096,12526243,13290719
Paraná,8972546,8460084,8084187,7951680,8774410
Tocantins,8480724,9129804,10161938,10772509,11313309
Maranhão,8008643,8323445,8561509,9428128,10128610
Santa Catarina,4452571,4532618,4541890,4484105,4540794
Acre,3509682,3802112,4047283,4635381,4908956
Rio de Janeiro,2533164,2605970,2674067,2701143,2765715
Ceará,2479289,2552916,2607005,2681690,2772173
Espírito Santo,2006027,2106299,2213129,2231036,2179082
Pernambuco,1937165,1882153,2173313,2280130,2456213
Amazonas,1455842,1437809,1496165,2029011,2377089
Piauí,1447817,1431540,1421095,1407772,1384189
Paraíba,1293769,1344094,1371007,1371566,1412480
Alagoas,1233394,1290414,1321236,1335493,1437589
Sergipe,1052263,1045507,1090821,1121930,1294262
Rio Grande do Norte,929451,988134,1015835,1059926,1173351
Roraima,879007,925109,937989,1133502,1181553
Distrito Federal,84425,84225,85771,85544,83061
Amapá,54296,54684,52768,53691,54842
