Unidade da Federação, 2019, 2020, 2021, 2022, 2023
Brasil,10120673,10008050,9990144,9904313,10081661
São Paulo,5540511,5515801,5473240,5502458,5496459
Goiás,946985,928046,930954,933105,978329
Minas Gerais,944041,1005145,977766,977624,1058212
Mato Grosso do Sul,727753,666447,673388,631539,660722
Paraná,596978,571873,567806,521038,519906
Alagoas,304748,270530,291462,279705,290003
Mato Grosso,297100,265149,251025,229199,239366
Pernambuco,238662,261088,279658,285017,269184
Paraíba,97751,100458,101363,102399,109237
Bahia,73823,76612,72993,75453,77268
Rio Grande do Norte,64171,68724,66667,68626,83765
Rio de Janeiro,53512,52958,61454,59789,52762
Maranhão,47405,47240,47182,47953,45096
Espírito Santo,45360,43217,53374,52697,53123
Tocantins,39179,30789,36419,29918,36645
Sergipe,35491,38580,37258,40494,44947
Piauí,15938,16097,17892,17827,17951
Pará,14920,14906,14908,17479,17476
Rio Grande do Sul,14782,14538,14239,13171,12099
Ceará,9867,9619,9432,8431,8725
Amazonas,3964,4272,5825,4775,4732
Santa Catarina,3849,3919,3917,3877,3931
Rondônia,2517,754,718,502,632
Acre,513,490,503,480,465
Amapá,438,393,332,280,236
Roraima,210,200,164,190,185
Distrito Federal,205,205,205,287,205
Guanabara,...,...,...,...,...
