Unidade da Federação, 2019, 2020, 2021, 2022, 2023
Brasil,17774535,18356420,19547959,21310249,22551202
Mato Grosso,5026449,5318762,5808096,6416967,7429526
Paraná,2632187,2696231,2856885,3073180,2803150
Mato Grosso do Sul,1983941,1973409,2150745,2386159,2395909
Goiás,1668937,1733660,1882705,1942588,2181640
Minas Gerais,1125265,1139726,1193535,1314591,1228588
São Paulo,844611,810287,681655,832407,827296
Rio Grande do Sul,763097,751573,780142,783800,822596
Bahia,609846,594905,617726,667268,694636
Ceará,524476,538259,557785,583791,600328
Piauí,450951,467765,521923,585294,601766
Maranhão,426096,455590,483152,514675,535302
Santa Catarina,344237,342869,338887,337104,329571
Pará,259122,320749,362071,405590,485255
Tocantins,259121,316908,334551,422261,527055
Rondônia,225372,246609,295980,322237,356552
Pernambuco,169246,178021,183755,193735,189207
Sergipe,148624,152103,175237,176093,184915
Paraíba,92791,97765,86374,98856,101039
Distrito Federal,64000,61200,60000,60000,55500
Rio Grande do Norte,59896,58887,45473,60387,66428
Alagoas,38627,38523,55778,54019,54358
Acre,28970,29870,34105,40460,40831
Espírito Santo,13130,12822,13787,15624,18305
Roraima,9621,13900,21373,15720,13774
Amazonas,2890,3066,2882,2554,3340
Rio de Janeiro,1784,1655,2019,2383,1963
Amapá,1248,1306,1338,2506,2372
