Unidade da Federação, 2019, 2020, 2021, 2022, 2023
Brasil,35944094,37205462,39143946,41297663,44453983
Mato Grosso,9724213,9989649,10461712,10925226,11981285
Rio Grande do Sul,5843533,5996371,6107620,6387670,6642140
Paraná,5418814,5534843,5521183,5683194,5762069
Goiás,3402810,3577700,3857007,4121969,4590730
Mato Grosso do Sul,2882107,3121522,3377042,3694468,3884468
Minas Gerais,1627741,1695702,1935260,2022682,2214362
Bahia,1585842,1622475,1699965,1774655,1923627
São Paulo,1080541,1132965,1199351,1252070,1360285
Maranhão,977598,960900,1023541,1099871,1190047
Tocantins,905281,962399,1113801,1167122,1331484
Piauí,766044,757978,832063,872906,945551
Santa Catarina,665548,664795,688980,754520,776923
Pará,577764,643267,753781,839560,1007539
Rondônia,344551,392642,400459,489526,589983
Distrito Federal,75000,74500,80000,84200,85000
Roraima,39930,49800,71178,102785,128197
Amapá,19476,20300,6715,6504,7350
Alagoas,3141,1224,3312,3686,5796
Amazonas,2500,2700,3000,5900,8237
Acre,1660,3280,6185,6570,12010
Ceará,-,450,1414,2220,4944
Rio Grande do Norte,-,-,-,-,100
Paraíba,-,-,-,37,-
Pernambuco,-,-,300,-,100
Sergipe,-,-,-,-,-
Espírito Santo,-,-,-,80,1000
Rio de Janeiro,-,-,77,242,756
