"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias - Ranking descendente"
"Variável - Área plantada (Hectares)"
"#";"Brasil e Unidade da Federação";"Ano x Produto das lavouras temporárias"
"#";"Brasil e Unidade da Federação";"2019";"2020";"2021";"2022";"2023"
"#";"Brasil e Unidade da Federação";"Soja (em grão)";"Soja (em grão)";"Soja (em grão)";"Soja (em grão)";"Soja (em grão)"
"1";"Brasil";"35944094";"37205462";"39143946";"41297663";"44453983"
"2";"Mato Grosso";"9724213";"9989649";"10461712";"10925226";"11981285"
"3";"Rio Grande do Sul";"5843533";"5996371";"6107620";"6387670";"6642140"
"4";"Paraná";"5418814";"5534843";"5521183";"5683194";"5762069"
"5";"Goiás";"3402810";"3577700";"3857007";"4121969";"4590730"
"6";"Mato Grosso do Sul";"2882107";"3121522";"3377042";"3694468";"3884468"
"7";"Minas Gerais";"1627741";"1695702";"1935260";"2022682";"2214362"
"8";"Bahia";"1585842";"1622475";"1699965";"1774655";"1923627"
"9";"São Paulo";"1080541";"1132965";"1199351";"1252070";"1360285"
"10";"Maranhão";"977598";"960900";"1023541";"1099871";"1190047"
"11";"Tocantins";"905281";"962399";"1113801";"1167122";"1331484"
"12";"Piauí";"766044";"757978";"832063";"872906";"945551"
"13";"Santa Catarina";"665548";"664795";"688980";"754520";"776923"
"14";"Pará";"577764";"643267";"753781";"839560";"1007539"
"15";"Rondônia";"344551";"392642";"400459";"489526";"589983"
"16";"Distrito Federal";"75000";"74500";"80000";"84200";"85000"
"17";"Roraima";"39930";"49800";"71178";"102785";"128197"
"18";"Amapá";"19476";"20300";"6715";"6504";"7350"
"19";"Alagoas";"3141";"1224";"3312";"3686";"5796"
"20";"Amazonas";"2500";"2700";"3000";"5900";"8237"
"21";"Acre";"1660";"3280";"6185";"6570";"12010"
"22";"Ceará";"-";"450";"1414";"2220";"4944"
"23";"Rio Grande do Norte";"-";"-";"-";"-";"100"
"24";"Paraíba";"-";"-";"-";"37";"-"
"25";"Pernambuco";"-";"-";"300";"-";"100"
"26";"Sergipe";"-";"-";"-";"-";"-"
"27";"Espírito Santo";"-";"-";"-";"80";"1000"
"28";"Rio de Janeiro";"-";"-";"77";"242";"756"
"29";"Guanabara";"...";"...";"...";"...";"..."
"Fonte: IBGE - Produção Agrícola Municipal"

"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias - Ranking descendente"
"Variável - Área plantada - percentual do total geral"
"#";"Brasil e Unidade da Federação";"Ano x Produto das lavouras temporárias"
