Unidade da Federação, 2019, 2020, 2021, 2022, 2023
Rondônia,163631,163084,192749,258538,211765
Acre,149802,156449,149642,157390,159694
Amazonas,89338,81877,81413,78097,75971
Roraima,76570,77825,79590,82880,92782
Pará,718732,739062,714750,699341,706812
Amapá,30892,32244,28919,27183,27964
Tocantins,266454,243289,250881,259523,194659
Maranhão,1031222,1030544,996815,984666,975387
Piauí,1047946,1055077,1062157,1070192,1077585
Ceará,1179619,1208834,1215425,1236390,1278548
Rio Grande do Norte,265412,291925,334443,365692,463734
Paraíba,245516,258946,276377,288360,302103
Pernambuco,732415,754597,867879,921973,947233
Alagoas,143540,152679,167520,174603,181232
Sergipe,91582,89558,109873,121058,150840
Bahia,1126956,1078368,992753,989008,1016164
Minas Gerais,5176548,5229317,5662633,5631395,5438457
Espírito Santo,235623,215625,208413,181226,174078
Rio de Janeiro,74023,77179,69739,62854,60595
Guanabara,...,...,...,...,...
São Paulo,1502048,1516668,1509168,1516038,1587613
Paraná,6838340,7022860,6703390,7020871,6938140
Santa Catarina,7590827,7805614,8416995,9825467,9316166
Rio Grande do Sul,5643613,5876755,6261484,6171447,6062700
Mato Grosso do Sul,1511866,1442689,1548359,1644633,1680478
Mato Grosso,2592975,2601292,2885929,2925375,2195233
Goiás,1878638,1822133,1592498,1521186,1542237
